"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangkok",0,0,0,0,0,0,0,1,0,0,0,0,1
"Bungkan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Buri Ram",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chachoengsao",0,0,0,0,0,1,0,0,0,0,0,0,1
"Chai Nat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaiyaphum",0,0,0,0,0,0,1,0,0,0,0,0,1
"Chanthaburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chiang Mai",0,0,0,0,0,0,0,1,0,1,0,0,2
"Chiang Rai",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chon Buri",1,0,0,0,0,0,0,0,0,0,0,0,1
"Chumphon",0,0,0,0,0,0,0,0,0,0,0,1,1
"Kalasin",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kamphaeng Phet",0,0,0,0,1,0,0,0,0,0,0,0,1
"Kanchanaburi",0,0,0,0,0,0,0,1,0,0,0,0,1
"Khon Kaen",0,0,0,0,0,0,0,0,0,0,0,0,0
"Krabi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampang",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamphun",0,0,0,0,0,0,0,0,0,1,0,0,1
"Loei",0,0,0,0,1,0,0,0,0,0,0,0,1
"Lop Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mae Hong Son",0,0,0,0,0,0,0,0,0,0,0,0,0
"Maha Sarakham",0,0,0,0,0,0,0,0,1,0,0,0,1
"Mukdahan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Nayok",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Pathom",0,0,0,0,0,0,0,1,0,0,0,0,1
"Nakhon Phanom",0,0,0,0,0,0,0,0,1,0,0,0,1
"Nakhon Ratchasima",0,1,0,0,0,1,2,1,0,1,0,1,7
"Nakhon Sawan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Si Thammarat",0,0,0,0,0,0,0,1,1,2,0,1,5
"Nan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Narathiwat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nong Bua Lam Phu",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nong Khai",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nonthaburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"P.Nakhon S.Ayutthaya",0,0,0,0,0,0,1,0,0,1,1,0,3
"Pathum Thani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pattani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phangnga",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phatthalung",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phayao",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phetchabun",0,0,0,0,0,1,0,0,0,0,0,0,1
"Phetchaburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phichit",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phitsanulok",0,0,0,0,0,0,0,1,0,0,0,0,1
"Phrae",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phuket",0,0,0,1,0,0,0,0,0,0,0,0,1
"Prachin Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Prachuap Khiri Khan",0,0,0,0,0,0,0,0,0,0,0,1,1
"Ranong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ratchaburi",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rayong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Roi Et",0,0,0,0,0,1,0,0,0,0,1,0,2
"Sa Kaeo",0,0,0,0,0,0,0,0,0,1,0,0,1
"Sakon Nakhon",0,0,0,0,0,0,0,0,0,0,0,0,0
"Samut Prakan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Samut Sakhon",0,0,0,0,0,0,0,0,0,1,0,0,1
"Samut Songkhram",0,1,0,0,0,0,0,0,0,0,0,1,2
"Saraburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Satun",0,0,0,0,1,0,0,0,0,0,0,0,1
"Si Sa Ket",0,0,0,0,1,0,0,0,0,1,0,0,2
"Sing Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Songkhla",0,0,0,0,0,1,2,0,0,2,0,1,6
"Sukhothai",0,0,0,0,0,0,0,0,0,0,0,0,0
"Suphan Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Surat Thani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Surin",0,0,0,0,0,0,1,1,0,0,0,0,2
"Tak",0,0,0,0,0,2,0,0,1,0,0,0,3
"Trang",0,0,0,0,0,0,0,0,0,0,0,0,0
"Trat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ubon Ratchathani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Udon Thani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Uthai Thani",0,0,0,0,0,0,0,0,0,0,0,0,0
"Uttaradit",0,0,0,0,0,0,0,0,0,0,0,0,0
"Yala",0,0,0,0,0,0,0,0,0,0,0,0,0
"Yasothon",0,0,0,0,0,0,0,0,1,0,0,0,1
