NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Ang Thong,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Bangkok Metropolis,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Bueng Kan,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Buri Ram,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chachoengsao,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Chai Nat,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Chaiyaphum,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chanthaburi,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Chiang Mai,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Chiang Rai,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Chon Buri,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Chumphon,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kalasin,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Kamphaeng Phet,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Kanchanaburi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Khon Kaen,63,37,0,0,100,0.63,0.37,0,1,0,0.63,0
Krabi,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Lampang,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Lamphun,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Loei,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Lop Buri,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Mae Hong Son,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Maha Sarakham,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Mukdahan,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nakhon Nayok,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Nakhon Pathom,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nakhon Phanom,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nakhon Ratchasima,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Nakhon Sawan,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
