NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Ang Thong,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Bangkok Metropolis,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Bueng Kan,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Buri Ram,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chachoengsao,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Chai Nat,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Chaiyaphum,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Chanthaburi,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Chiang Mai,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Chiang Rai,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Chon Buri,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Chumphon,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Kalasin,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Kamphaeng Phet,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Kanchanaburi,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Khon Kaen,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Krabi,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Lampang,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Lamphun,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Loei,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Lop Buri,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Mae Hong Son,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Maha Sarakham,0,0,0,100,100,1.0,1.0,1,0,1,0.0,1
Mukdahan,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Nakhon Nayok,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Nakhon Pathom,91,9,0,0,100,0.91,0.09,0,1,0,0.91,0
Nakhon Phanom,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Nakhon Ratchasima,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Nakhon Sawan,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nakhon Si Thammarat,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Nan,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Narathiwat,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Nong Bua Lam Phu,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nong Khai,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
